"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Netherlands (NL)","19.11.2021 05:00 - 19.11.2021 05:15 (CET)","0","n/e","n/e","1936","2971","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","447","n/e","1","51","1424","489"
"Netherlands (NL)","19.11.2021 05:15 - 19.11.2021 05:30 (CET)","0","n/e","n/e","2013","3039","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","451","n/e","1","52","1460","488"
"Netherlands (NL)","19.11.2021 05:30 - 19.11.2021 05:45 (CET)","0","n/e","n/e","1996","3181","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","449","n/e","1","53","1480","475"
"Netherlands (NL)","19.11.2021 05:45 - 19.11.2021 06:00 (CET)","0","n/e","n/e","2245","3182","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","451","n/e","1","53","1459","463"
"Netherlands (NL)","19.11.2021 06:00 - 19.11.2021 06:15 (CET)","0","n/e","n/e","2404","3198","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","454","n/e","1","52","1452","449"
"Netherlands (NL)","19.11.2021 06:15 - 19.11.2021 06:30 (CET)","0","n/e","n/e","2791","3188","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","463","n/e","1","51","1415","427"
"Netherlands (NL)","19.11.2021 06:30 - 19.11.2021 06:45 (CET)","0","n/e","n/e","3092","3176","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","467","n/e","1","52","1374","424"
"Netherlands (NL)","19.11.2021 06:45 - 19.11.2021 07:00 (CET)","0","n/e","n/e","3350","3157","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","461","n/e","1","52","1374","437"
"Netherlands (NL)","19.11.2021 07:00 - 19.11.2021 07:15 (CET)","0","n/e","n/e","3779","3188","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","489","n/e","1","53","1390","427"
"Netherlands (NL)","19.11.2021 07:15 - 19.11.2021 07:30 (CET)","0","n/e","n/e","3988","3293","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","507","n/e","1","52","1383","383"
"Netherlands (NL)","19.11.2021 07:30 - 19.11.2021 07:45 (CET)","0","n/e","n/e","4306","3328","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","480","519","n/e","1","51","1352","367"
"Netherlands (NL)","19.11.2021 07:45 - 19.11.2021 08:00 (CET)","0","n/e","n/e","4549","3381","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","480","497","n/e","1","50","1352","364"
"Netherlands (NL)","19.11.2021 08:00 - 19.11.2021 08:15 (CET)","0","n/e","n/e","4740","3391","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","520","n/e","1","51","1359","365"
"Netherlands (NL)","19.11.2021 08:15 - 19.11.2021 08:30 (CET)","0","n/e","n/e","4746","3391","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","480","531","n/e","1","51","1314","363"
"Netherlands (NL)","19.11.2021 08:30 - 19.11.2021 08:45 (CET)","0","n/e","n/e","4937","3384","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","480","545","n/e","1","51","1299","361"
"Netherlands (NL)","19.11.2021 08:45 - 19.11.2021 09:00 (CET)","0","n/e","n/e","4974","3407","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","480","544","n/e","1","52","1316","359"
"Netherlands (NL)","19.11.2021 09:00 - 19.11.2021 09:15 (CET)","0","n/e","n/e","4951","3391","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","544","n/e","2","52","1258","364"
"Netherlands (NL)","19.11.2021 09:15 - 19.11.2021 09:30 (CET)","0","n/e","n/e","4930","3417","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","480","542","n/e","3","52","1202","354"
"Netherlands (NL)","19.11.2021 09:30 - 19.11.2021 09:45 (CET)","0","n/e","n/e","4876","3421","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","536","n/e","6","53","1214","362"
"Netherlands (NL)","19.11.2021 09:45 - 19.11.2021 10:00 (CET)","0","n/e","n/e","4680","3424","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","521","n/e","8","52","1232","356"
"Netherlands (NL)","19.11.2021 10:00 - 19.11.2021 10:15 (CET)","0","n/e","n/e","4744","3425","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","503","n/e","9","52","1250","352"
"Netherlands (NL)","19.11.2021 10:15 - 19.11.2021 10:30 (CET)","0","n/e","n/e","4510","3404","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","503","n/e","9","52","1271","377"
"Netherlands (NL)","19.11.2021 10:30 - 19.11.2021 10:45 (CET)","0","n/e","n/e","4495","3416","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","502","n/e","12","52","1284","403"
"Netherlands (NL)","19.11.2021 10:45 - 19.11.2021 11:00 (CET)","0","n/e","n/e","4304","3411","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","480","500","n/e","20","51","1298","431"
"Netherlands (NL)","19.11.2021 11:00 - 19.11.2021 11:15 (CET)","0","n/e","n/e","4514","3398","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","515","n/e","13","51","1327","400"
"Netherlands (NL)","19.11.2021 11:15 - 19.11.2021 11:30 (CET)","0","n/e","n/e","4593","3454","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","481","508","n/e","12","51","1346","401"
